Samples,Stype
68,A
81,C
895,C
DD102-4,A
FLEVO,C
I-214,A
I-45-51,B
I-63,C
I-69,C
I-72,C
L04-13,B
L04-17,B
Lushan Poplar,B
P. Canadensis,C
P. Danhong,C
P. Juba,C
P. Ningshanica,A
Populus 2025,C
RASPCTE,A
TRIPLO,B
