Variety ,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,zscore
I-45-51FL4,19.28915307,0.434768864,280.9402724,7.604861667,1.925677886,35.03427505,35.72612254,35.03427505,35.64437866,398.1168416,371.5599264,28.47860273,37.27064641,48.51974233,63.49897639,499.6396891,1499.743245,154.7197571,100.1706034,26.17510986,0.269793123,0.832732815,0.007604862,308.1842751,308.8761225,239.9589139,-1.012363227,5.659101029,56.49462852,19.2239821,35.3801988,5.768386632,0.377047073,3.733423143,2.034963489,0.240239352,28.14195663,0.756110268,69.03808955,362.3907868,0.036747247,-1.265541004
I-63FL1,18.74705643,0.616661043,300.3561012,8.262819443,1.539272886,35.83138021,37.163119,35.83138021,37.18268967,392.6690063,366.5192668,34.46548971,43.95199839,53.92419561,68.7666448,499.6349284,1500.51591,254.1792704,99.52688599,22.57319069,0.181974769,0.832724881,0.008262819,308.9813802,310.313119,240.0825402,-1.251697901,5.913678416,59.41789856,15.46590017,36.4972496,6.133910966,0.506649055,4.374405531,1.759505435,0.324989988,29.89350742,0.819482454,77.4489221,357.607814,0.040601447,0.688204429
I-63FL2,17.45385468,0.698003354,310.9168977,8.68127081,1.462035776,35.77507909,37.20213826,35.77507909,37.23549398,392.3122864,367.5165507,34.58257675,44.54509099,53.99128469,69.54503632,499.546346,1498.987061,879.7209676,99.52478027,22.57319069,0.181974769,0.832577243,0.008681271,308.9250791,310.3521383,239.8379243,-1.455788441,5.895376173,59.23525937,14.69016837,36.48860868,6.131008043,0.560294915,4.433340397,1.697667645,0.360405513,30.94393595,0.845994289,79.0034213,359.2198241,0.038386377,0.097514716
I-63FL3,17.63732265,0.545129744,303.4739056,7.617025264,1.597851514,32.95671463,34.17401632,32.95671463,34.17127228,397.1252747,372.549408,25.52985001,34.35831833,47.40519842,63.7983729,499.881663,1500.338175,1151.031331,100.1789754,25.79377937,0.296031803,0.833136105,0.007617025,306.1067146,307.3240163,240.0541027,-0.945787516,5.039832644,50.30828697,15.94996864,33.56536547,5.214831601,0.457342719,3.441981129,1.772850472,0.292612976,30.40170496,0.814587141,72.22528762,364.1654695,0.034980204,0.234155384
I-63FL4,19.42043735,0.479913563,286.3909539,7.122739839,1.664714526,33.03722763,34.26515961,33.03722763,34.2922554,395.9064026,369.4224752,25.65467898,33.91886775,47.39597193,62.66372299,499.5876058,1500.669067,1243.282308,100.1793416,25.79377937,0.296031803,0.83264601,0.00712274,306.1872276,307.4151596,240.1070454,-0.687988131,5.062684364,50.53621118,16.61734343,33.65119362,5.239929144,0.410536943,3.397969838,1.841959306,0.262030718,28.69045719,0.775239795,70.63098927,360.1909294,0.038082114,-0.043791054
I-69FL1,17.87566721,0.506402009,291.3360154,8.309793195,1.821491406,36.76970418,38.01929347,36.76970418,37.99835332,391.5133158,366.3911235,34.72097905,44.25816854,51.85024261,66.09251149,499.6451314,1499.847453,1398.78125,99.51982371,21.60496902,0.228505492,0.832741886,0.008309793,309.9197042,311.1692935,239.9755871,-1.286012605,6.226056535,62.56096829,18.30279975,37.39449883,6.441916055,0.429769206,4.404565129,2.037350926,0.274578771,28.99370888,0.795150308,73.77035749,357.8938874,0.036845961,0.402473044
I-69FL2,19.70295455,0.609633866,291.8078213,9.298860204,1.743935953,36.89400482,38.33067067,36.89400482,38.30878576,390.1797078,362.4761759,34.80533091,45.46252823,51.10911179,66.75843557,499.7248027,1500.875326,1125.662313,99.52278392,21.60496902,0.228505492,0.832874671,0.00929886,310.0440048,311.4806707,240.1400467,-1.763464547,6.268493325,62.98551023,17.52298201,37.61233775,6.518689113,0.501894836,4.524557372,1.994131741,0.321860984,29.04152673,0.805039984,75.782718,353.110335,0.042285468,0.700165738
I-69FL3,14.65360692,0.413794891,304.7880778,6.597929638,1.752058574,33.33876546,34.56904856,33.33876546,34.61832174,398.9126485,378.3180847,26.25423368,33.9088122,47.69153341,61.59628296,499.6383464,1499.712362,1000.110555,100.1808395,25.79377937,0.296031803,0.832730577,0.00659793,306.4887655,307.7190486,239.9539725,-0.41758532,5.149071848,51.39777098,17.48895878,33.95390701,5.329288126,0.361171272,3.397013274,1.932274853,0.229935529,30.53392551,0.80563972,68.97736867,371.3524618,0.027218546,0.238216076
I-69FL4,16.42924513,0.450123891,300.9269834,6.819205988,1.683032737,33.25371043,34.55956777,33.25371043,34.61164983,399.3904317,376.5774129,26.44668897,34.35428874,48.06506475,62.4365921,499.6411235,1499.099487,1193.230591,100.1779683,25.79377937,0.296031803,0.832735206,0.006819206,306.4037104,307.7095678,239.8559126,-0.522112291,5.124575587,51.15471667,16.80042793,33.9066391,5.315248251,0.388541785,3.44154285,1.873705401,0.247710241,30.14625382,0.799110571,70.38459911,368.7677366,0.031357562,0.086702993
I-72FL1,19.73362441,0.56719709,286.2704808,9.619648913,1.912985304,37.4662234,39.03843562,37.4662234,39.09622701,389.6287842,361.7524821,34.73402405,45.75732168,49.09679413,64.67830404,499.6406555,1500.099447,1422.358683,99.5277125,21.60496902,0.228505492,0.832734426,0.009619649,310.6162234,312.1884356,240.0159061,-1.906259776,6.467106864,64.97795136,19.22062969,38.25232951,6.748853569,0.472775304,4.554121559,2.19473201,0.30272892,28.49184614,0.791343503,73.89882688,352.3720622,0.041384994,-0.058403137
I-72FL2,18.07298355,0.482198349,286.2311319,8.758197604,1.99933742,37.36460241,39.0079244,37.36460241,39.09433238,391.3187866,365.769694,34.48094686,44.52960205,48.82105255,63.04878998,499.6607971,1499.563314,1293.07548,99.53162638,21.60496902,0.228505492,0.832767995,0.008758198,310.5146024,312.1579244,239.9301248,-1.454612452,6.431441134,64.61706061,20.08745856,38.1862634,6.72477193,0.412209647,4.432103714,2.292668216,0.263120939,28.48905007,0.782544707,71.8911611,357.1786632,0.036376408,-0.13998802
I-72FL3,18.27294341,0.501521494,298.98513,7.245116126,1.627502767,33.6421051,34.92596563,33.6421051,34.99767939,400.2741496,375.063914,27.64692116,36.03503545,49.23323441,64.17066447,499.5667318,1501.320557,1415.873576,100.1737264,25.79377937,0.296031803,0.83261122,0.007245116,306.7921051,308.0759656,240.2112837,-0.740041247,5.23726655,52.28183814,16.24680269,34.28403536,5.428247704,0.426249172,3.609763783,1.818483922,0.272280215,29.95045462,0.797157804,72.36844838,366.3778318,0.036093466,-0.803068875
I-72FL4,18.38149318,0.522144489,301.653616,7.393511166,1.604924464,33.63510259,34.92343394,33.63510259,35.00271098,401.1441142,375.7282206,27.68111038,36.24006526,49.30088298,64.54463704,499.5168254,1501.48173,1416.425903,100.1734238,25.79377937,0.296031803,0.832528042,0.007393511,306.7851026,308.0734339,240.2370715,-0.81570334,5.235215878,52.26152488,16.02145962,34.27926826,5.426807423,0.441054892,3.630291415,1.796516008,0.281953793,30.21767551,0.802850564,72.90569356,366.9905391,0.03651635,0.496540352
L04-13FL1,20.09286923,0.589221788,288.1298985,9.823391439,1.89177847,37.58636347,39.20603943,37.58636347,39.28163401,391.006307,362.6047363,35.14397685,46.39140574,49.23585256,64.99322764,499.7232971,1500.89388,338.3206991,99.53815715,21.60496902,0.228505492,0.832872162,0.009823391,310.7363635,312.3560394,240.1430155,-2.001496761,6.509493505,65.39696627,19.00556052,38.39620145,6.801555061,0.487979405,4.617715035,2.183840026,0.31271099,28.67991912,0.794611511,74.50674947,353.0535486,0.042403039,0.694237071
L04-13FL2,18.0619129,0.518835644,289.6392923,9.408763237,2.01504532,37.8190333,39.41586049,37.8190333,39.47021739,390.8563843,365.0376892,35.20439529,45.98528926,48.76731364,63.70167542,499.5558268,1499.665731,1546.598551,99.53666941,21.60496902,0.228505492,0.832593045,0.009408763,310.9690333,312.5658605,239.9465116,-1.793304036,6.592267855,66.22954027,20.24425101,38.6174469,6.883295762,0.438689565,4.577222535,2.306073226,0.280407538,28.8297305,0.79345039,72.61844762,356.4519209,0.036796778,0.325165569
L04-13FL3,17.70743113,0.464887563,297.8130648,7.031134019,1.685631634,33.65340042,34.84335963,33.65340042,34.9078776,401.0496623,376.6028239,27.34388415,35.48860677,48.91590627,63.48612976,499.583018,1499.576742,1337.014364,100.1714223,25.79377937,0.296031803,0.832638363,0.007031134,306.8034004,307.9933596,239.9322733,-0.646661716,5.24057585,52.31607706,16.82747029,34.24838003,5.417483241,0.399493068,3.554944216,1.862539025,0.254836189,29.83235828,0.790788239,71.09032415,368.1855592,0.034190015,1.127005395
L04-13FL4,17.5866163,0.376127142,281.0658616,7.143062705,2.055516887,34.9236056,35.88885117,34.9236056,35.90069199,399.809845,375.4692383,27.35577138,35.62826029,46.19234212,60.16108195,499.624766,1498.86967,1432.059367,100.1733754,26.17510986,0.269793123,0.832707943,0.007143063,308.0736056,309.0388512,239.8191418,-0.735746439,5.624519982,56.14785322,20.51959293,35.40622838,5.776683687,0.332137772,3.569003095,2.207680593,0.211135723,28.15531608,0.748572296,66.17623112,367.1094032,0.031702169,1.237563777
L04-17FL1,19.46471667,0.574838314,286.0777366,11.21364569,2.195166745,39.01856359,40.74039205,39.01856359,40.81878153,389.7431335,361.5033671,35.80687205,48.6170133,46.20866903,62.74012248,499.6887105,1500.519246,180.2293142,99.5227534,21.60496902,0.228505492,0.832814518,0.011213646,312.1685636,313.890392,240.0830741,-2.690924604,7.033665771,70.67394672,22.05693342,39.87947782,7.366052265,0.478072303,4.838499026,2.527553239,0.306204823,28.47124404,0.791355647,72.39787297,352.250773,0.040005697,0.315918095
L04-17FL2,20.52924709,0.516732926,275.4651244,10.53777047,2.256444012,39.03679276,40.80946223,39.03679276,40.89661916,390.1520691,360.9372152,36.02524312,48.06914266,46.32162857,61.80779775,499.7332052,1500.906698,1567.940633,99.52585602,21.60496902,0.228505492,0.832888675,0.01053777,312.1867928,313.9594622,240.1450662,-2.336030382,7.040566582,70.7410804,22.67193774,39.92312749,7.383261376,0.43718557,4.78412257,2.599138805,0.279424422,27.41590229,0.763193988,71.17184157,351.1785943,0.041605701,-0.48831161
