Samples,Cond,Ci,VpdL,RH_S,PARo,H20diff,CndTotal,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,AHs/Cs,Zscore
Populus 2025FL1,0.596764533,289.2545965,1.900219109,64.90410868,1431.209554,19.09082679,0.493141274,2.194754607,0.316103556,28.79116329,0.799909934,74.50667046,0.041508446,0.682829028
Populus 2025FL2,0.550571664,284.1399798,1.928046899,64.37244924,1345.043172,19.37007511,0.461166987,2.222590849,0.295118259,28.28255464,0.784289758,73.67927727,0.041783186,0.504952193
Populus 2025FL3,0.5297669,295.5054267,1.554685321,64.91141764,204.5972697,15.52015345,0.446480867,1.751902001,0.2855027,29.60137922,0.789688586,73.50583963,0.040397348,0.727614212
Populus 2025FL4,0.481582356,279.9273825,1.605846531,64.14546967,1300.623088,16.03092847,0.411757652,1.797640439,0.262826425,28.04082233,0.750918186,72.26254515,0.044186901,0.365660639
RASPCTEFL1,0.287946553,244.182539,2.648185685,58.66329447,1705.972778,26.61995958,0.261437975,2.921472067,0.1655901,24.29157358,0.700905442,64.48527203,0.028465358,-0.068974871
RASPCTEFL2,0.368424714,260.2868637,2.465878673,60.68740972,1874.314535,24.78769132,0.326117842,2.748374128,0.207244649,25.8933281,0.739603807,67.58163001,0.032127567,-0.355824143
RASPCTEFL3,0.450281793,283.2187083,1.699051187,62.15784454,1387.322144,16.96012076,0.388659809,1.877809976,0.247786965,28.37262124,0.759091057,69.89215663,0.038471359,0.045977826
RASPCTEFL4,0.366376147,259.8223661,2.469084412,60.63953018,1873.78125,24.81986683,0.324512226,2.751861471,0.206207213,25.84717148,0.738275353,67.5177961,0.032123688,-0.035430355
TRIPLOFL1,0.448361335,280.4392564,2.267947322,62.00133006,294.1106567,22.78963569,0.387225771,2.608202997,0.246854627,27.90836464,0.77745353,70.65975612,0.033667087,-0.092709207
TRIPLOFL2,0.501684841,278.7381499,2.121799966,62.80751038,319.6391195,21.32076407,0.426365387,2.49252345,0.272356233,27.73946542,0.777321406,72.55197674,0.038726639,-0.616863492
TRIPLOFL3,0.49476483,294.0898168,1.859234099,64.51953888,115.5043666,18.56056646,0.421357105,1.994628849,0.269087274,29.45932785,0.791263341,71.01196196,0.035484054,-0.838172135
TRIPLOFL4,0.499522524,292.0374381,1.847771712,64.42053731,159.9146678,18.44673939,0.424801089,1.995148024,0.271335146,29.25278583,0.786136486,71.20806423,0.036975466,-0.697134231
P. DanhongFL2,,,,,,,,,,,,,,2.257776
P. DanhongFL3,,,,,,,,,,,,,,2.199914
